Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
7394816,E12000001,H,2,1,2,6,2,2,1,2,1,2,5,8,2,-9,4
7394745,E12000001,H,5,1,1,4,1,2,1,1,1,2,1,8,6,4,3
7395066,E12000001,H,3,1,2,4,1,2,1,1,1,1,1,6,11,3,4
7395329,E12000001,H,3,1,2,2,1,2,1,2,1,2,1,7,7,3,2
7394712,E12000001,H,3,1,1,5,4,2,1,1,1,2,1,1,4,3,2
7394750,E12000001,H,2,1,1,6,2,2,1,2,1,1,1,9,2,3,3
7394871,E12000001,H,5,1,2,4,3,2,1,2,1,1,1,6,11,2,3
7394832,E12000001,H,3,1,2,1,1,2,1,2,1,1,-9,-9,-9,-9,-9
7394719,E12000001,H,2,1,1,7,2,2,1,1,1,2,5,8,2,-9,2
7394840,E12000001,H,1,1,2,6,4,2,1,3,1,2,5,9,5,-9,4
7394510,E12000001,H,1,1,1,3,1,2,1,3,1,8,1,8,2,3,4
7394711,E12000001,H,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395070,E12000001,H,1,1,2,2,1,2,1,1,1,2,1,7,2,3,2
7394869,E12000001,H,1,1,2,2,1,1,1,2,1,1,4,-9,-9,-9,2
7394971,E12000001,H,5,1,2,2,1,2,1,2,1,2,1,7,4,2,4
7395019,E12000001,H,1,1,2,2,1,1,1,2,1,1,4,7,6,-9,2
7395069,E12000001,H,3,1,1,2,1,2,1,1,1,1,2,8,3,4,4
7394933,E12000001,H,3,1,1,2,1,1,1,1,1,1,6,-9,-9,-9,2
7395059,E12000001,H,1,1,1,4,1,2,1,3,1,1,1,8,2,3,4
7394875,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394764,E12000001,H,2,1,1,7,2,2,1,3,1,2,5,9,2,-9,4
7394645,E12000001,H,5,1,2,5,4,2,1,3,1,2,2,7,7,1,4
7394857,E12000001,H,2,1,1,4,2,2,1,1,1,1,1,8,2,3,4
7395021,E12000001,H,2,1,1,8,2,2,1,3,1,2,5,5,2,-9,3
7395361,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394927,E12000001,H,3,1,1,3,1,2,1,2,1,2,1,7,4,3,4
7395359,E12000001,H,2,1,1,5,2,2,1,2,1,2,2,1,3,3,1
7394920,E12000001,H,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394688,E12000001,H,2,1,2,2,1,1,1,1,1,9,4,7,4,1,2
7394516,E12000001,H,2,1,1,4,2,2,1,1,1,2,1,8,10,3,4
7394965,E12000001,H,5,1,2,4,4,2,1,1,1,2,1,2,8,2,1
7394872,E12000001,H,1,1,2,5,4,2,1,1,1,2,2,9,8,2,4
7394663,E12000001,H,1,1,2,8,5,2,1,3,1,2,5,1,5,-9,2
7394695,E12000001,H,2,1,2,5,2,2,1,2,1,2,3,8,2,-9,4
7394893,E12000001,H,1,1,1,6,1,2,1,1,1,2,5,3,2,-9,2
7394899,E12000001,H,2,1,2,6,2,2,1,3,1,2,5,6,12,-9,3
7394657,E12000001,H,2,1,1,8,2,2,1,2,1,2,5,8,2,-9,4
7394658,E12000001,H,2,1,2,4,2,2,1,2,1,2,1,7,4,3,4
7394756,E12000001,H,2,1,2,5,2,2,1,3,1,1,1,9,9,1,4
7394529,E12000001,H,3,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7394682,E12000001,H,3,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7395250,E12000001,H,1,1,1,8,4,2,1,3,1,2,5,5,3,-9,3
7394767,E12000001,H,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394768,E12000001,H,2,1,1,3,2,2,1,2,1,1,1,5,4,3,3
7394769,E12000001,H,2,1,1,6,2,2,1,3,1,2,1,5,2,3,3
7394672,E12000001,H,2,1,2,8,2,2,1,3,1,2,5,9,8,-9,4
7394662,E12000001,H,2,1,2,4,2,2,1,1,1,2,1,6,10,2,3
7394576,E12000001,H,1,1,1,5,4,2,1,3,1,1,1,5,8,3,3
7394762,E12000001,H,2,1,2,5,2,2,1,3,1,2,9,9,2,-9,3
7395185,E12000001,H,2,1,1,4,2,2,1,2,1,2,1,9,3,3,4
7394717,E12000001,H,3,1,2,2,1,2,1,2,1,1,1,6,12,3,3
7394690,E12000001,H,2,1,2,6,2,2,1,3,1,2,8,3,10,-9,3
7394892,E12000001,H,1,1,1,5,4,2,1,1,1,9,1,4,11,2,2
7394724,E12000001,H,3,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394521,E12000001,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394725,E12000001,H,3,1,2,3,1,2,1,2,1,1,2,5,2,4,3
7394736,E12000001,H,2,1,2,6,2,2,1,2,1,2,1,2,10,3,1
7394493,E12000001,H,2,1,2,4,2,2,1,2,1,2,1,7,4,2,4
7395287,E12000001,H,2,1,1,4,2,2,1,1,1,1,1,3,9,4,2
7395031,E12000001,H,2,1,1,5,2,2,1,4,1,2,8,5,3,-9,3
7394515,E12000001,H,3,1,1,3,4,2,1,2,1,1,1,7,4,3,4
7394744,E12000001,H,2,1,2,5,2,2,2,3,3,6,1,6,11,4,2
