Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
7394743,E12000001,H,2,1,2,2,1,1,1,1,3,6,6,-9,-9,-9,2
7394716,E12000001,H,5,1,2,5,4,2,1,3,1,2,5,2,11,-9,2
7395294,E12000001,H,2,1,1,4,2,2,1,1,1,2,1,5,2,3,3
7394519,E12000001,H,3,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394941,E12000001,H,2,1,1,5,2,2,1,2,1,1,1,1,11,3,1
7394740,E12000001,H,2,1,1,4,2,2,2,1,3,6,9,8,6,-9,3
7394488,E12000001,H,1,1,2,5,4,2,1,2,1,2,1,3,9,3,2
7394527,E12000001,H,1,1,1,3,1,2,1,3,1,1,3,-9,-9,-9,4
7394770,E12000001,H,2,1,1,7,2,2,1,1,1,2,5,7,3,-9,4
7394522,E12000001,H,5,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394495,E12000001,H,2,1,1,6,2,2,1,3,1,2,9,8,2,-9,4
7394483,E12000001,H,1,1,1,4,1,2,1,2,1,2,1,2,6,3,1
7394898,E12000001,H,1,1,2,4,1,2,1,2,1,1,3,9,12,-9,4
7394737,E12000001,H,2,1,2,6,2,2,1,1,1,2,1,9,11,1,4
7394524,E12000001,H,1,1,1,3,1,2,1,2,1,2,3,9,2,-9,4
7394525,E12000001,H,3,1,1,2,5,1,1,1,1,1,4,5,5,-9,2
7395282,E12000001,H,2,1,2,2,1,2,1,1,1,2,1,7,4,3,4
7394491,E12000001,H,3,1,2,4,1,2,1,2,1,2,1,7,11,2,2
7394490,E12000001,H,3,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394754,E12000001,H,2,1,2,6,2,2,1,2,1,2,1,2,11,3,1
7395251,E12000001,H,2,1,1,8,2,2,1,3,1,2,5,8,6,-9,3
7394916,E12000001,H,1,1,1,7,4,2,1,2,1,2,5,4,6,-9,2
7395365,E12000001,H,3,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
7394544,E12000001,H,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394611,E12000001,H,2,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394537,E12000001,H,1,1,1,3,1,2,1,2,1,1,3,8,2,-9,3
7394588,E12000001,H,2,1,1,6,2,2,1,2,1,2,3,8,3,-9,3
7394900,E12000001,H,2,1,1,6,2,2,1,2,1,2,1,9,2,3,4
7394543,E12000001,H,1,1,1,5,1,2,1,3,1,2,8,-9,-9,-9,4
7394912,E12000001,H,2,1,2,6,2,2,1,2,1,2,7,9,5,-9,4
7394536,E12000001,H,5,1,2,6,3,2,1,2,1,1,1,9,10,1,4
7394726,E12000001,H,3,1,2,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394581,E12000001,H,5,1,2,1,1,1,1,4,1,2,-9,-9,-9,-9,-9
7395096,E12000001,H,5,1,2,4,3,2,1,1,1,2,1,6,11,2,4
7394604,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394609,E12000001,H,2,1,1,3,1,2,1,2,1,2,3,9,2,-9,4
7394603,E12000001,H,2,1,2,6,2,2,1,4,1,2,8,4,4,-9,3
7394605,E12000001,H,2,1,1,5,2,2,1,3,1,1,1,8,6,2,4
7394566,E12000001,H,5,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394565,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395278,E12000001,H,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395277,E12000001,H,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394573,E12000001,H,2,1,1,7,2,2,1,3,1,2,5,5,2,-9,3
7395085,E12000001,H,3,1,1,2,1,2,1,1,1,1,1,9,4,3,4
7394614,E12000001,H,1,1,1,3,1,2,1,1,1,9,1,5,6,3,3
7394623,E12000001,H,2,1,1,6,2,2,1,3,1,2,8,9,2,-9,4
7394587,E12000001,H,2,1,2,5,2,2,1,1,1,2,1,6,11,2,4
7394626,E12000001,H,5,1,2,4,1,2,1,2,1,2,1,5,10,3,3
7394803,E12000001,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394630,E12000001,H,3,1,2,2,1,2,1,1,1,1,1,7,4,2,4
7394610,E12000001,H,3,1,1,4,1,1,1,3,1,2,4,9,3,3,2
7394805,E12000001,H,2,1,1,4,2,2,1,1,1,9,1,2,2,3,1
7394553,E12000001,H,3,1,2,3,1,2,1,2,1,2,7,-9,-9,-9,4
7394798,E12000001,H,2,1,1,4,2,2,1,1,1,2,1,5,2,3,3
7394812,E12000001,H,2,1,2,3,2,2,1,1,1,1,1,4,10,3,2
7394628,E12000001,H,2,1,1,3,2,2,1,2,1,1,1,5,4,3,3
7394797,E12000001,H,2,1,2,5,2,2,1,2,1,2,5,4,11,-9,1
7394583,E12000001,H,5,1,2,2,1,2,1,1,1,2,7,-9,-9,-9,4
7394586,E12000001,H,5,1,2,5,4,2,1,3,1,1,8,6,11,-9,4
7394846,E12000001,H,1,1,1,2,1,2,1,2,1,1,1,5,3,3,3
7394589,E12000001,H,2,1,1,5,2,2,1,3,1,1,7,8,3,-9,2
7394593,E12000001,H,1,1,1,5,4,2,1,3,1,2,8,8,4,-9,3
7394621,E12000001,H,3,1,1,2,1,2,1,1,1,2,1,3,2,3,2
7394986,E12000001,H,2,1,2,5,2,2,1,3,1,2,1,4,9,3,2
7394847,E12000001,H,1,1,1,4,1,2,1,2,1,1,3,8,2,-9,4
7394830,E12000001,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395003,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395326,E12000001,H,1,1,2,3,3,2,1,1,1,2,1,6,11,3,3
7394792,E12000001,H,5,1,1,3,1,2,1,1,1,2,1,3,8,3,2
7394819,E12000001,H,2,1,2,3,2,2,1,3,1,2,1,6,8,2,3
7394608,E12000001,H,2,1,1,3,1,2,1,1,1,2,1,9,4,2,4
7394624,E12000001,H,2,1,1,6,2,2,1,3,1,2,9,8,6,-9,3
7395310,E12000001,H,2,1,2,4,2,2,2,1,1,2,1,2,11,2,2
7395140,E12000001,H,1,1,2,8,5,2,1,4,1,2,5,3,9,-9,2
7395311,E12000001,H,2,1,1,7,2,2,1,2,1,2,5,2,2,-9,1
7394558,E12000001,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395309,E12000001,H,2,1,1,5,2,2,1,2,1,2,1,3,8,3,2
7395249,E12000001,H,1,1,2,6,5,2,1,2,1,2,5,6,11,-9,4
7395142,E12000001,H,2,1,1,2,1,2,1,1,1,2,1,8,3,3,4
7395143,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395306,E12000001,H,2,1,2,6,2,2,1,3,1,2,7,6,11,-9,2
7395298,E12000001,H,1,1,2,8,5,2,1,3,1,2,5,7,4,-9,4
7395263,E12000001,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394504,E12000001,H,2,1,2,6,2,2,1,1,1,2,1,7,4,1,4
7395307,E12000001,H,2,1,2,4,2,2,1,1,1,2,1,3,4,3,2
7394590,E12000001,H,5,1,2,5,5,2,1,2,1,2,1,9,3,2,4
7395340,E12000001,H,1,1,2,6,4,2,1,1,1,2,5,3,8,-9,2
7395377,E12000001,H,2,1,2,4,2,2,1,2,1,2,1,2,11,2,2
7395256,E12000001,H,2,1,1,6,2,2,1,3,1,2,5,1,4,-9,2
7395259,E12000001,H,2,1,1,7,2,2,1,2,1,1,5,8,2,-9,4
7395303,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395258,E12000001,H,2,1,2,6,2,2,1,3,1,2,1,2,9,3,1
7394506,E12000001,H,1,1,1,3,1,2,1,4,1,1,1,8,2,3,3
7395296,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395290,E12000001,H,2,1,1,8,2,2,1,4,1,2,5,9,8,-9,4
7394534,E12000001,H,5,1,2,4,1,2,1,2,1,1,1,9,5,2,4
7395295,E12000001,H,3,1,1,2,1,2,1,1,1,9,3,7,4,-9,1
7394560,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394562,E12000001,H,2,1,1,2,1,2,1,1,1,9,1,6,11,2,3
7394555,E12000001,H,2,1,2,5,2,2,1,2,1,2,1,7,4,2,4
7395281,E12000001,H,5,1,2,5,4,2,1,2,1,1,1,6,11,3,3
7395264,E12000001,H,3,1,1,8,5,2,1,2,1,2,5,4,5,-9,2
7394934,E12000001,H,1,1,2,8,5,2,1,3,1,2,5,5,11,-9,4
7395276,E12000001,H,2,1,2,6,2,2,1,1,1,2,1,2,10,2,1
7395261,E12000001,H,2,1,1,4,2,2,1,3,1,2,1,8,2,4,4
7394935,E12000001,H,5,1,2,4,3,2,1,1,1,1,1,6,11,2,3
7394945,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394535,E12000001,H,2,1,2,5,2,2,1,3,1,2,1,7,4,2,4
7395300,E12000001,H,1,1,2,7,1,2,1,2,1,2,5,2,11,-9,1
7394502,E12000001,H,5,1,2,2,1,2,1,3,1,1,7,-9,-9,-9,4
7395022,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395343,E12000001,H,2,1,1,4,2,2,1,2,1,2,2,8,8,4,4
7394538,E12000001,H,2,1,2,3,2,2,1,1,1,2,1,6,12,3,2
7394497,E12000001,H,5,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
7394947,E12000001,H,6,1,1,2,1,1,1,1,1,2,4,5,5,1,2
7395248,E12000001,H,2,1,1,4,2,2,1,2,1,2,2,3,3,1,2
7395288,E12000001,H,2,1,1,4,2,2,1,2,1,1,1,5,3,3,3
7395255,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394551,E12000001,H,2,1,2,7,2,2,1,1,1,2,5,5,10,-9,2
7394540,E12000001,H,1,1,2,8,5,2,1,3,1,2,5,9,2,-9,4
7394868,E12000001,H,2,1,1,2,1,2,1,1,1,1,1,9,8,3,4
7395333,E12000001,H,5,1,2,6,5,2,1,1,1,2,5,4,9,-9,2
7395334,E12000001,H,2,1,1,6,2,2,1,2,1,1,1,3,2,3,2
7394958,E12000001,H,2,1,1,5,2,2,1,2,1,2,2,2,8,3,1
7394747,E12000001,H,1,1,2,3,2,2,1,2,1,1,1,4,5,3,2
7394484,E12000001,H,5,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394720,E12000001,H,1,1,2,5,1,2,1,3,1,2,8,6,11,-9,4
7394948,E12000001,H,-9,2,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
7394839,E12000001,H,1,1,2,8,1,2,1,3,1,2,5,4,6,-9,2
7394966,E12000001,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394700,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394733,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395257,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395065,E12000001,H,3,1,1,3,1,2,1,1,1,2,1,7,7,3,2
7394910,E12000001,H,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394972,E12000001,H,1,1,1,7,4,2,1,2,1,2,5,8,2,-9,3
7394705,E12000001,H,2,1,1,8,2,2,1,3,1,2,5,4,6,-9,2
7394858,E12000001,H,2,1,2,3,2,2,1,1,1,1,7,-9,-9,-9,4
7395044,E12000001,H,5,1,2,5,4,2,1,3,1,2,2,1,4,4,2
7394709,E12000001,H,2,1,1,6,2,2,1,2,1,2,1,3,2,3,2
7394728,E12000001,H,5,1,1,1,1,2,1,2,1,2,-9,-9,-9,-9,-9
7394732,E12000001,H,2,1,1,3,1,2,1,1,1,1,3,7,4,-9,1
7394956,E12000001,H,2,1,1,6,2,2,1,2,1,9,2,2,8,3,1
7394924,E12000001,H,2,1,2,7,2,2,1,3,1,2,5,9,12,-9,3
7395050,E12000001,H,3,1,1,4,4,2,1,1,1,2,1,3,9,3,2
7394913,E12000001,H,1,1,1,3,1,2,1,2,1,2,2,5,3,3,3
7394800,E12000001,H,2,1,2,2,1,1,1,1,3,7,4,7,4,1,2
7394974,E12000001,H,1,1,2,3,1,2,1,2,1,9,3,7,7,-9,2
7395030,E12000001,H,3,1,1,4,1,2,1,2,1,1,1,5,12,3,3
7395063,E12000001,H,5,1,2,4,4,2,1,1,1,2,1,9,6,3,3
7395348,E12000001,H,3,1,1,3,1,2,1,1,1,2,2,5,3,3,3
7394518,E12000001,H,1,1,1,6,4,2,1,1,1,9,9,4,9,-9,2
7395368,E12000001,H,1,1,2,3,1,2,1,1,1,1,1,6,12,2,3
7394938,E12000001,H,2,1,2,5,2,2,1,2,1,2,1,4,4,1,2
7395364,E12000001,H,3,1,1,5,4,2,1,2,1,2,1,1,4,3,2
7395028,E12000001,H,2,1,2,5,3,2,1,1,1,2,1,6,10,2,3
7395062,E12000001,H,2,1,2,3,2,2,1,1,1,1,3,7,4,-9,3
7395054,E12000001,H,1,1,1,5,1,2,1,2,1,1,1,4,2,2,2
7394598,E12000001,H,1,1,1,5,4,2,1,3,1,1,8,4,7,-9,2
7394940,E12000001,H,5,1,1,2,1,2,2,1,3,2,9,-9,-9,-9,2
7394594,E12000001,H,1,1,1,5,4,2,1,2,1,2,1,6,11,3,3
7395349,E12000001,H,2,1,2,4,2,2,1,3,1,2,1,2,10,4,1
7395061,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395060,E12000001,H,2,1,1,7,2,2,1,2,1,2,5,9,4,-9,4
7394734,E12000001,H,2,1,1,5,2,2,1,2,1,2,1,3,4,3,1
7394983,E12000001,H,5,1,2,3,1,2,1,1,1,2,1,9,4,3,4
7395344,E12000001,H,1,1,2,3,1,2,1,2,1,2,1,3,9,3,2
7394785,E12000001,H,2,1,1,2,1,2,1,1,1,2,1,6,12,3,2
7394811,E12000001,H,5,1,2,8,5,2,1,4,1,2,5,9,9,-9,4
7395345,E12000001,H,5,1,2,2,1,2,1,1,1,9,1,6,11,3,2
7394807,E12000001,H,2,1,1,5,2,2,1,2,1,2,1,8,6,4,3
7395107,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395370,E12000001,H,2,1,1,4,2,2,1,2,1,1,1,3,9,4,2
7394813,E12000001,H,2,1,1,5,2,2,1,2,1,2,1,8,9,3,3
7395119,E12000001,H,1,1,2,7,5,2,1,3,1,2,5,9,9,-9,3
7394814,E12000001,H,2,1,1,6,2,2,1,1,1,2,1,8,2,1,4
7395088,E12000001,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395146,E12000001,H,1,1,2,5,4,2,1,3,1,2,1,9,8,3,4
7395123,E12000001,H,2,1,2,4,2,2,2,3,1,1,1,6,11,3,4
7395077,E12000001,H,6,1,2,8,1,2,1,2,1,2,5,8,2,-9,4
7394689,E12000001,H,2,1,1,4,2,2,1,1,1,1,1,8,2,3,4
7395113,E12000001,H,1,1,2,8,5,2,1,3,1,2,5,-9,-9,-9,4
7395106,E12000001,H,1,1,1,4,3,2,1,2,1,1,1,9,4,3,4
7394559,E12000001,H,3,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
7394799,E12000001,H,2,1,1,5,2,2,1,1,1,2,1,6,11,3,3
7394802,E12000001,H,2,1,2,2,1,1,1,1,1,1,4,6,12,1,2
7395347,E12000001,H,2,1,1,4,2,2,1,1,1,2,1,5,8,4,3
7394801,E12000001,H,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394577,E12000001,H,2,1,1,5,2,2,2,1,1,9,2,8,6,3,4
7395082,E12000001,H,5,1,2,5,1,2,1,4,1,2,8,-9,-9,-9,4
7395126,E12000001,H,2,1,2,6,2,2,1,3,1,2,1,2,11,2,2
7395102,E12000001,H,3,1,1,4,1,2,1,4,1,9,9,5,5,-9,4
7395128,E12000001,H,1,1,1,4,3,2,1,2,1,2,1,5,3,3,3
7395271,E12000001,H,2,1,1,4,2,2,1,1,1,2,1,1,2,4,1
7395308,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395324,E12000001,H,2,1,1,3,2,2,1,2,1,2,1,9,3,3,4
7395104,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395108,E12000001,H,2,1,2,5,2,2,1,2,1,2,1,7,4,2,4
7395109,E12000001,H,2,1,1,4,2,2,1,2,1,2,1,5,5,3,3
7394806,E12000001,H,1,1,2,7,5,2,1,1,1,2,1,4,4,2,2
7395090,E12000001,H,5,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7395352,E12000001,H,5,1,2,2,1,1,1,1,1,2,4,2,10,2,2
7395098,E12000001,H,2,1,1,7,2,2,1,3,1,9,5,5,4,-9,3
7395132,E12000001,H,5,1,2,4,1,2,1,2,1,2,1,8,2,3,4
7394836,E12000001,H,2,1,1,2,1,2,1,1,1,2,1,9,4,3,4
7395350,E12000001,H,2,1,1,3,1,2,1,1,1,1,1,2,2,3,1
7395351,E12000001,H,2,1,1,2,1,2,1,1,1,2,1,5,2,3,3
7395078,E12000001,H,2,1,1,6,2,2,1,3,1,2,8,5,2,-9,4
7395138,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395292,E12000001,H,2,1,2,6,2,2,1,2,1,2,5,7,4,-9,4
7395145,E12000001,H,2,1,2,7,2,2,1,1,1,2,5,2,10,-9,2
7395135,E12000001,H,1,1,1,6,4,2,1,3,1,2,8,4,7,-9,2
7395247,E12000001,H,2,1,2,5,2,2,1,2,1,2,7,-9,-9,-9,3
7395321,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395118,E12000001,H,2,1,2,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7395254,E12000001,H,3,1,1,4,1,2,1,2,1,2,1,5,3,4,3
7395120,E12000001,H,3,1,2,4,2,2,1,1,1,2,1,2,11,2,1
7395127,E12000001,H,4,1,1,5,5,2,1,2,1,1,2,5,11,3,3
7395272,E12000001,H,2,1,1,3,2,2,1,1,1,2,1,1,4,3,2
7395322,E12000001,H,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395079,E12000001,H,1,1,1,5,1,2,1,4,1,2,8,-9,-9,-9,4
7395275,E12000001,H,2,1,1,7,2,2,1,2,1,2,5,5,2,-9,2
7394649,E12000001,H,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395213,E12000001,H,2,1,1,6,2,2,1,2,1,2,1,8,3,3,4
7395122,E12000001,H,1,1,2,8,5,2,1,2,1,2,5,5,10,-9,4
7394979,E12000001,H,2,1,2,4,2,2,1,1,1,1,1,2,10,1,1
7395211,E12000001,H,2,1,1,2,1,1,1,1,1,2,6,-9,-9,-9,2
7394606,E12000001,H,2,1,2,1,1,1,1,1,3,1,-9,-9,-9,-9,-9
7395217,E12000001,H,3,1,1,2,1,2,1,1,1,2,3,-9,-9,-9,2
7395219,E12000001,H,2,1,2,3,2,2,2,1,4,2,3,-9,-9,-9,4
7395205,E12000001,H,1,1,1,3,1,2,1,2,1,1,3,-9,-9,-9,4
7394652,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395231,E12000001,H,1,1,2,6,4,2,1,2,1,2,5,2,11,-9,1
7395203,E12000001,H,2,1,1,7,2,2,1,5,1,2,5,9,4,-9,2
7395204,E12000001,H,4,1,1,8,5,2,1,3,1,1,5,6,12,-9,4
7394991,E12000001,H,1,1,2,7,5,2,1,3,1,2,5,5,6,-9,4
7394987,E12000001,H,3,1,1,3,1,2,1,1,1,1,1,3,2,3,1
7395223,E12000001,H,2,1,1,4,2,2,1,3,1,2,1,8,2,3,3
7395242,E12000001,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395233,E12000001,H,1,1,2,4,1,2,1,2,1,2,1,7,2,3,2
7394674,E12000001,H,2,1,1,8,2,2,1,3,1,2,5,3,2,-9,2
7394660,E12000001,H,3,1,2,2,1,2,1,2,1,2,1,6,12,2,3
7394666,E12000001,H,2,1,1,6,2,2,1,3,1,2,8,9,6,-9,2
7394667,E12000001,H,2,1,2,2,1,1,1,1,1,2,4,4,12,-9,2
7394673,E12000001,H,2,1,1,5,2,2,1,2,1,2,1,5,2,3,3
7394771,E12000001,H,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395222,E12000001,H,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394650,E12000001,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394680,E12000001,H,5,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
7394895,E12000001,H,2,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7394648,E12000001,H,2,1,2,3,1,2,2,1,1,2,3,7,4,-9,2
7394656,E12000001,H,1,1,2,7,5,2,1,2,1,2,5,4,10,-9,2
7394988,E12000001,H,2,1,1,7,2,2,1,2,1,2,5,5,3,-9,3
7394632,E12000001,H,2,1,2,4,2,2,1,1,1,2,7,6,8,-9,1
7394646,E12000001,H,3,1,2,4,1,2,1,1,1,1,1,7,4,3,4
7394686,E12000001,H,2,1,2,2,1,1,1,1,1,1,4,4,4,1,2
7394739,E12000001,H,3,1,2,2,1,2,1,3,1,1,3,9,5,-9,2
7394765,E12000001,H,2,1,2,7,2,2,1,2,1,2,5,7,4,-9,4
7394693,E12000001,H,5,1,2,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
7394669,E12000001,H,1,1,2,7,5,2,1,3,1,2,5,-9,-9,-9,4
7394699,E12000001,H,3,1,1,4,1,2,1,2,1,2,1,3,2,3,2
7394957,E12000001,H,1,1,1,5,4,2,1,2,1,8,3,9,10,-9,4
