CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2340,F2341,F2342,
,,,,,Sex : Total\ Sex - Unit : Persons,Sex : Males - Unit : Persons,Sex : Females - Unit : Persons,
8,E12000001,North East,Regions,RGN,2596886,1269703,1327183,
9,E12000002,North West,Regions,RGN,7052177,3464685,3587492,
10,E12000003,Yorkshire and The Humber,Regions,RGN,5283733,2598078,2685655,
11,E12000004,East Midlands,Regions,RGN,4533222,2234493,2298729,
12,E12000005,West Midlands,Regions,RGN,5601847,2763187,2838660,
13,E12000006,East of England,Regions,RGN,5846965,2875807,2971158,
14,E12000007,London,Regions,RGN,8173941,4033289,4140652,
15,E12000008,South East,Regions,RGN,8634750,4239298,4395452,
16,E12000009,South West,Regions,RGN,5288935,2590608,2698327,
